FileName,Xmin,Xmax,Ymin,Ymax,ClassName
class1 (1).png,79,169,78,150,screw
class1 (2).png,78,170,78,150,screw
class1 (3).png,79,189,96,193,screw
class1 (4).png,97,131,84,204,screw
class1 (5).png,102,179,107,166,screw
class2 (1).png,87,170,78,165,nut
class2 (2).png,40,195,49,174,nut
class2 (3).png,79,161,69,148,nut
class2 (4).png,64,157,69,151,nut
class2 (5).png,105,203,97,201,nut
class3 (1).png,53,166,14,232,key
class3 (2).png,80,178,20,220,key
class3 (3).png,32,176,10,231,key
class3 (4).png,73,180,6,228,key
class3 (5).png,11,236,32,193,key
class4 (1).png,50,205,72,188,coin
class4 (2).png,60,203,35,181,coin
class4 (3).png,56,184,60,217,coin
class4 (4).png,46,205,31,225,coin
class4 (5).png,30,225,47,216,coin
